staff_code,local_date,canonical_code,notes
STAFF-DEMO-PL-010,2026-08-06,F16,
STAFF-DEMO-PL-011,2026-08-06,F16,
STAFF-DEMO-PL-012,2026-08-06,MI20,
STAFF-DEMO-PL-001,2026-08-07,ช,
STAFF-DEMO-PL-002,2026-08-07,MI18,
STAFF-DEMO-PL-003,2026-08-07,IM18,
STAFF-DEMO-PL-004,2026-08-07,BB20,
STAFF-DEMO-PL-005,2026-08-07,HE18,
STAFF-DEMO-PL-006,2026-08-07,CH18,
STAFF-DEMO-PL-007,2026-08-07,MI18,
STAFF-DEMO-PL-008,2026-08-07,F16,
STAFF-DEMO-PL-009,2026-08-07,B17,
STAFF-DEMO-PL-010,2026-08-07,F16,
STAFF-DEMO-PL-011,2026-08-07,off,
STAFF-DEMO-PL-012,2026-08-07,MI20,
STAFF-DEMO-PL-001,2026-08-08,off,
STAFF-DEMO-PL-002,2026-08-08,off,
STAFF-DEMO-PL-003,2026-08-08,off,
STAFF-DEMO-PL-004,2026-08-08,N1-IM,night sample
STAFF-DEMO-PL-005,2026-08-08,off,
STAFF-DEMO-PL-006,2026-08-08,off,
STAFF-DEMO-PL-007,2026-08-08,off,
STAFF-DEMO-PL-008,2026-08-08,off,
STAFF-DEMO-PL-009,2026-08-08,off,
STAFF-DEMO-PL-010,2026-08-08,off,
STAFF-DEMO-PL-011,2026-08-08,off,
STAFF-DEMO-PL-012,2026-08-08,off,
STAFF-DEMO-PL-001,2026-08-09,off,
STAFF-DEMO-PL-002,2026-08-09,off,
STAFF-DEMO-PL-003,2026-08-09,off,
STAFF-DEMO-PL-004,2026-08-09,off,
STAFF-DEMO-PL-005,2026-08-09,off,
STAFF-DEMO-PL-006,2026-08-09,off,
STAFF-DEMO-PL-007,2026-08-09,off,
STAFF-DEMO-PL-008,2026-08-09,off,
STAFF-DEMO-PL-009,2026-08-09,off,
STAFF-DEMO-PL-010,2026-08-09,off,
STAFF-DEMO-PL-011,2026-08-09,off,
STAFF-DEMO-PL-012,2026-08-09,off,
STAFF-DEMO-PL-001,2026-08-10,ช,
STAFF-DEMO-PL-002,2026-08-10,MI18,
STAFF-DEMO-PL-003,2026-08-10,IM18,
STAFF-DEMO-PL-004,2026-08-10,BB20,
STAFF-DEMO-PL-005,2026-08-10,HE18,
STAFF-DEMO-PL-006,2026-08-10,CH18,
STAFF-DEMO-PL-007,2026-08-10,MI18,
STAFF-DEMO-PL-008,2026-08-10,F16,
STAFF-DEMO-PL-009,2026-08-10,B17,
STAFF-DEMO-PL-010,2026-08-10,F16,
STAFF-DEMO-PL-011,2026-08-10,off,
STAFF-DEMO-PL-012,2026-08-10,MI20,
STAFF-DEMO-PL-001,2026-08-11,ช,
STAFF-DEMO-PL-002,2026-08-11,MI18,
STAFF-DEMO-PL-003,2026-08-11,IM18,
STAFF-DEMO-PL-004,2026-08-11,BB20,
STAFF-DEMO-PL-005,2026-08-11,HE18,
STAFF-DEMO-PL-006,2026-08-11,CH18,
STAFF-DEMO-PL-007,2026-08-11,off,
STAFF-DEMO-PL-008,2026-08-11,F16,
STAFF-DEMO-PL-009,2026-08-11,B17,
STAFF-DEMO-PL-010,2026-08-11,F16,
STAFF-DEMO-PL-011,2026-08-11,F16,
STAFF-DEMO-PL-012,2026-08-11,MI20,
STAFF-DEMO-PL-001,2026-08-12,ช,
STAFF-DEMO-PL-002,2026-08-12,N1-MI,night sample
STAFF-DEMO-PL-003,2026-08-12,IM18,
STAFF-DEMO-PL-004,2026-08-12,BB20,
STAFF-DEMO-PL-005,2026-08-12,HE18,
STAFF-DEMO-PL-006,2026-08-12,CH18,
STAFF-DEMO-PL-007,2026-08-12,MI18,
STAFF-DEMO-PL-008,2026-08-12,F16,
STAFF-DEMO-PL-009,2026-08-12,B17,
STAFF-DEMO-PL-010,2026-08-12,F16,
STAFF-DEMO-PL-011,2026-08-12,off,
STAFF-DEMO-PL-012,2026-08-12,MI20,
STAFF-DEMO-PL-001,2026-08-13,ช,
STAFF-DEMO-PL-002,2026-08-13,MI18,
STAFF-DEMO-PL-003,2026-08-13,IM18,
STAFF-DEMO-PL-004,2026-08-13,BB20,
STAFF-DEMO-PL-005,2026-08-13,HE18,
STAFF-DEMO-PL-006,2026-08-13,CH18,
STAFF-DEMO-PL-007,2026-08-13,off,
STAFF-DEMO-PL-008,2026-08-13,F16,
STAFF-DEMO-PL-009,2026-08-13,B17,
STAFF-DEMO-PL-010,2026-08-13,F16,
STAFF-DEMO-PL-011,2026-08-13,F16,
STAFF-DEMO-PL-012,2026-08-13,MI20,
STAFF-DEMO-PL-001,2026-08-14,ช,
STAFF-DEMO-PL-002,2026-08-14,MI18,
STAFF-DEMO-PL-003,2026-08-14,IM18,
STAFF-DEMO-PL-004,2026-08-14,BB20,
STAFF-DEMO-PL-005,2026-08-14,HE18,
STAFF-DEMO-PL-006,2026-08-14,CH18,
STAFF-DEMO-PL-007,2026-08-14,MI18,
STAFF-DEMO-PL-008,2026-08-14,F16,
STAFF-DEMO-PL-009,2026-08-14,B17,
STAFF-DEMO-PL-010,2026-08-14,บด,night sample
STAFF-DEMO-PL-011,2026-08-14,off,
STAFF-DEMO-PL-012,2026-08-14,MI20,
STAFF-DEMO-PL-001,2026-08-15,off,
STAFF-DEMO-PL-002,2026-08-15,off,
STAFF-DEMO-PL-003,2026-08-15,off,
STAFF-DEMO-PL-004,2026-08-15,off,
STAFF-DEMO-PL-005,2026-08-15,off,
STAFF-DEMO-PL-006,2026-08-15,off,
STAFF-DEMO-PL-007,2026-08-15,off,
STAFF-DEMO-PL-008,2026-08-15,off,
STAFF-DEMO-PL-009,2026-08-15,off,
STAFF-DEMO-PL-010,2026-08-15,off,
STAFF-DEMO-PL-011,2026-08-15,off,
STAFF-DEMO-PL-012,2026-08-15,N1-IM,night sample
STAFF-DEMO-PL-001,2026-08-16,off,
STAFF-DEMO-PL-002,2026-08-16,off,
STAFF-DEMO-PL-003,2026-08-16,off,
STAFF-DEMO-PL-004,2026-08-16,off,
STAFF-DEMO-PL-005,2026-08-16,off,
STAFF-DEMO-PL-006,2026-08-16,off,
STAFF-DEMO-PL-007,2026-08-16,off,
STAFF-DEMO-PL-008,2026-08-16,off,
STAFF-DEMO-PL-009,2026-08-16,off,
STAFF-DEMO-PL-010,2026-08-16,off,
STAFF-DEMO-PL-011,2026-08-16,off,
STAFF-DEMO-PL-012,2026-08-16,off,
STAFF-DEMO-PL-001,2026-08-17,ช,
STAFF-DEMO-PL-002,2026-08-17,MI18,
STAFF-DEMO-PL-003,2026-08-17,IM18,
STAFF-DEMO-PL-004,2026-08-17,BB20,
STAFF-DEMO-PL-005,2026-08-17,HE18,
STAFF-DEMO-PL-006,2026-08-17,CH18,
STAFF-DEMO-PL-007,2026-08-17,MI18,
STAFF-DEMO-PL-008,2026-08-17,F16,
STAFF-DEMO-PL-009,2026-08-17,B17,
STAFF-DEMO-PL-010,2026-08-17,F16,
STAFF-DEMO-PL-011,2026-08-17,off,
STAFF-DEMO-PL-012,2026-08-17,MI20,
STAFF-DEMO-PL-001,2026-08-18,ช,
STAFF-DEMO-PL-002,2026-08-18,MI18,
STAFF-DEMO-PL-003,2026-08-18,IM18,
STAFF-DEMO-PL-004,2026-08-18,BB20,
STAFF-DEMO-PL-005,2026-08-18,HE18,
STAFF-DEMO-PL-006,2026-08-18,CH18,
STAFF-DEMO-PL-007,2026-08-18,off,
STAFF-DEMO-PL-008,2026-08-18,F16,
STAFF-DEMO-PL-009,2026-08-18,B17,
STAFF-DEMO-PL-010,2026-08-18,F16,
STAFF-DEMO-PL-011,2026-08-18,F16,
STAFF-DEMO-PL-012,2026-08-18,MI20,
STAFF-DEMO-PL-001,2026-08-19,ช,
STAFF-DEMO-PL-002,2026-08-19,MI18,
STAFF-DEMO-PL-003,2026-08-19,N1-MI,night sample
STAFF-DEMO-PL-004,2026-08-19,BB20,
STAFF-DEMO-PL-005,2026-08-19,HE18,
STAFF-DEMO-PL-006,2026-08-19,CH18,
STAFF-DEMO-PL-007,2026-08-19,MI18,
STAFF-DEMO-PL-008,2026-08-19,F16,
STAFF-DEMO-PL-009,2026-08-19,B17,
STAFF-DEMO-PL-010,2026-08-19,F16,
STAFF-DEMO-PL-011,2026-08-19,off,
STAFF-DEMO-PL-012,2026-08-19,MI20,
STAFF-DEMO-PL-001,2026-08-20,ช,
STAFF-DEMO-PL-002,2026-08-20,MI18,
STAFF-DEMO-PL-003,2026-08-20,IM18,
STAFF-DEMO-PL-004,2026-08-20,BB20,
STAFF-DEMO-PL-005,2026-08-20,HE18,
STAFF-DEMO-PL-006,2026-08-20,CH18,
STAFF-DEMO-PL-007,2026-08-20,off,
STAFF-DEMO-PL-008,2026-08-20,F16,
STAFF-DEMO-PL-009,2026-08-20,B17,
STAFF-DEMO-PL-010,2026-08-20,F16,
STAFF-DEMO-PL-011,2026-08-20,F16,
STAFF-DEMO-PL-012,2026-08-20,MI20,
STAFF-DEMO-PL-001,2026-08-21,ช,
STAFF-DEMO-PL-002,2026-08-21,MI18,
STAFF-DEMO-PL-003,2026-08-21,IM18,
STAFF-DEMO-PL-004,2026-08-21,BB20,
STAFF-DEMO-PL-005,2026-08-21,HE18,
STAFF-DEMO-PL-006,2026-08-21,CH18,
STAFF-DEMO-PL-007,2026-08-21,MI18,
STAFF-DEMO-PL-008,2026-08-21,F16,
STAFF-DEMO-PL-009,2026-08-21,B17,
STAFF-DEMO-PL-010,2026-08-21,F16,
STAFF-DEMO-PL-011,2026-08-21,off,
STAFF-DEMO-PL-012,2026-08-21,MI20,
STAFF-DEMO-PL-001,2026-08-22,off,
STAFF-DEMO-PL-002,2026-08-22,off,
STAFF-DEMO-PL-003,2026-08-22,off,
STAFF-DEMO-PL-004,2026-08-22,off,
STAFF-DEMO-PL-005,2026-08-22,off,
STAFF-DEMO-PL-006,2026-08-22,off,
STAFF-DEMO-PL-007,2026-08-22,off,
STAFF-DEMO-PL-008,2026-08-22,off,
STAFF-DEMO-PL-009,2026-08-22,off,
STAFF-DEMO-PL-010,2026-08-22,off,
STAFF-DEMO-PL-011,2026-08-22,off,
STAFF-DEMO-PL-012,2026-08-22,off,
STAFF-DEMO-PL-001,2026-08-23,off,
STAFF-DEMO-PL-002,2026-08-23,off,
STAFF-DEMO-PL-003,2026-08-23,off,
STAFF-DEMO-PL-004,2026-08-23,off,
STAFF-DEMO-PL-005,2026-08-23,off,
STAFF-DEMO-PL-006,2026-08-23,off,
STAFF-DEMO-PL-007,2026-08-23,off,
STAFF-DEMO-PL-008,2026-08-23,off,
STAFF-DEMO-PL-009,2026-08-23,off,
STAFF-DEMO-PL-010,2026-08-23,off,
STAFF-DEMO-PL-011,2026-08-23,off,
STAFF-DEMO-PL-012,2026-08-23,off,
STAFF-DEMO-PL-001,2026-08-24,ช,
STAFF-DEMO-PL-002,2026-08-24,MI18,
STAFF-DEMO-PL-003,2026-08-24,IM18,
STAFF-DEMO-PL-004,2026-08-24,BB20,
STAFF-DEMO-PL-005,2026-08-24,HE18,
STAFF-DEMO-PL-006,2026-08-24,CH18,
STAFF-DEMO-PL-007,2026-08-24,MI18,
STAFF-DEMO-PL-008,2026-08-24,F16,
STAFF-DEMO-PL-009,2026-08-24,B17,
STAFF-DEMO-PL-010,2026-08-24,F16,
STAFF-DEMO-PL-011,2026-08-24,off,
STAFF-DEMO-PL-012,2026-08-24,MI20,
STAFF-DEMO-PL-001,2026-08-25,ช,
STAFF-DEMO-PL-002,2026-08-25,MI18,
STAFF-DEMO-PL-003,2026-08-25,IM18,
STAFF-DEMO-PL-004,2026-08-25,BB20,
STAFF-DEMO-PL-005,2026-08-25,HE18,
STAFF-DEMO-PL-006,2026-08-25,CH18,
STAFF-DEMO-PL-007,2026-08-25,off,
STAFF-DEMO-PL-008,2026-08-25,F16,
STAFF-DEMO-PL-009,2026-08-25,B17,
STAFF-DEMO-PL-010,2026-08-25,F16,
STAFF-DEMO-PL-011,2026-08-25,F16,
STAFF-DEMO-PL-012,2026-08-25,MI20,
STAFF-DEMO-PL-001,2026-08-26,ช,
STAFF-DEMO-PL-002,2026-08-26,N1-MI,night sample
STAFF-DEMO-PL-003,2026-08-26,IM18,
STAFF-DEMO-PL-004,2026-08-26,BB20,
STAFF-DEMO-PL-005,2026-08-26,HE18,
STAFF-DEMO-PL-006,2026-08-26,CH18,
STAFF-DEMO-PL-007,2026-08-26,MI18,
STAFF-DEMO-PL-008,2026-08-26,F16,
STAFF-DEMO-PL-009,2026-08-26,B17,
STAFF-DEMO-PL-010,2026-08-26,F16,
STAFF-DEMO-PL-011,2026-08-26,off,
STAFF-DEMO-PL-012,2026-08-26,MI20,
STAFF-DEMO-PL-001,2026-08-27,ช,
STAFF-DEMO-PL-002,2026-08-27,MI18,
STAFF-DEMO-PL-003,2026-08-27,IM18,
STAFF-DEMO-PL-004,2026-08-27,BB20,
STAFF-DEMO-PL-005,2026-08-27,HE18,
STAFF-DEMO-PL-006,2026-08-27,CH18,
STAFF-DEMO-PL-007,2026-08-27,off,
STAFF-DEMO-PL-008,2026-08-27,F16,
STAFF-DEMO-PL-009,2026-08-27,B17,
STAFF-DEMO-PL-010,2026-08-27,F16,
STAFF-DEMO-PL-011,2026-08-27,F16,
STAFF-DEMO-PL-012,2026-08-27,MI20,
STAFF-DEMO-PL-001,2026-08-28,ช,
STAFF-DEMO-PL-002,2026-08-28,MI18,
STAFF-DEMO-PL-003,2026-08-28,IM18,
STAFF-DEMO-PL-004,2026-08-28,BB20,
STAFF-DEMO-PL-005,2026-08-28,HE18,
STAFF-DEMO-PL-006,2026-08-28,CH18,
STAFF-DEMO-PL-007,2026-08-28,MI18,
STAFF-DEMO-PL-008,2026-08-28,F16,
STAFF-DEMO-PL-009,2026-08-28,B17,
STAFF-DEMO-PL-010,2026-08-28,บด,night sample
STAFF-DEMO-PL-011,2026-08-28,off,
STAFF-DEMO-PL-012,2026-08-28,MI20,
STAFF-DEMO-PL-001,2026-08-29,off,
STAFF-DEMO-PL-002,2026-08-29,off,
STAFF-DEMO-PL-003,2026-08-29,off,
STAFF-DEMO-PL-004,2026-08-29,off,
STAFF-DEMO-PL-005,2026-08-29,off,
STAFF-DEMO-PL-006,2026-08-29,off,
STAFF-DEMO-PL-007,2026-08-29,off,
STAFF-DEMO-PL-008,2026-08-29,off,
STAFF-DEMO-PL-009,2026-08-29,off,
STAFF-DEMO-PL-010,2026-08-29,off,
STAFF-DEMO-PL-011,2026-08-29,off,
STAFF-DEMO-PL-012,2026-08-29,off,
STAFF-DEMO-PL-001,2026-08-30,off,
STAFF-DEMO-PL-002,2026-08-30,off,
STAFF-DEMO-PL-003,2026-08-30,off,
STAFF-DEMO-PL-004,2026-08-30,off,
STAFF-DEMO-PL-005,2026-08-30,off,
STAFF-DEMO-PL-006,2026-08-30,off,
STAFF-DEMO-PL-007,2026-08-30,off,
STAFF-DEMO-PL-008,2026-08-30,off,
STAFF-DEMO-PL-009,2026-08-30,off,
STAFF-DEMO-PL-010,2026-08-30,off,
STAFF-DEMO-PL-011,2026-08-30,off,
STAFF-DEMO-PL-012,2026-08-30,off,
STAFF-DEMO-PL-001,2026-08-31,ช,
STAFF-DEMO-PL-002,2026-08-31,MI18,
STAFF-DEMO-PL-003,2026-08-31,IM18,
STAFF-DEMO-PL-004,2026-08-31,BB20,
STAFF-DEMO-PL-005,2026-08-31,HE18,
STAFF-DEMO-PL-006,2026-08-31,CH18,
STAFF-DEMO-PL-007,2026-08-31,MI18,
STAFF-DEMO-PL-008,2026-08-31,F16,
STAFF-DEMO-PL-009,2026-08-31,B17,
STAFF-DEMO-PL-010,2026-08-31,F16,
STAFF-DEMO-PL-011,2026-08-31,off,
STAFF-DEMO-PL-012,2026-08-31,MI20,
